id,level,category,question,correct,image,reason
L1-1,1,Formen & Gattungen,Wer komponierte die 'Mondscheinsonate'?,Beethoven,images/beethoven.webp,correct-answer:beethoven->beethoven
L1-2,1,Komponisten,Welcher Komponist wurde im Laufe seines Lebens zunehmend taub?,Beethoven,images/beethoven.webp,correct-answer:beethoven->beethoven
L1-3,1,Werkkunde,Welches Werk stammt von Antonio Vivaldi?,Die vier Jahreszeiten,images/vivaldi.webp,correct-answer:vier jahreszeiten->vivaldi
L1-4,1,Komponisten,In welcher Stadt wurde Mozart geboren?,Salzburg,images/Mozart.jpg,text:mozart->mozart
L1-5,1,Komponisten,"Welcher Komponist ist besonders bekannt für Nocturnes, Mazurken und Polonaisen?",Chopin,images/chopin.jpg,correct-answer:chopin->chopin
L1-6,1,Werkkunde,Wer komponierte 'Also sprach Zarathustra'?,Richard Strauss,images/rstrauss.jpg,correct-answer:richard strauss->rstrauss
L1-7,1,Formen & Gattungen,Wie viele Sinfonien schrieb Beethoven?,9,images/beethoven.webp,text:beethoven->beethoven
L1-8,1,Formen & Gattungen,Wer gilt oft als 'Vater der Sinfonie'?,Joseph Haydn,images/jhaydn.jpg,correct-answer:joseph haydn->jhaydn
L1-9,1,Komponisten,Welches Instrument spielte Franz Liszt virtuos?,Klavier,images/liszt.png,text:franz liszt->liszt
L1-10,1,Epochen & Stil,Wer komponierte den berühmten Hochzeitsmarsch aus 'Ein Sommernachtstraum'?,Mendelssohn,images/mendelssohn.jpg,correct-answer:mendelssohn->mendelssohn
L1-11,1,Komponisten,Welcher Komponist schrieb die „Sinfonia da Requiem“?,Britten,images/britten.jpg,correct-answer:britten->britten
L1-12,1,Komponisten,Welcher Komponist war Mitglied der französischen Gruppe „Les Six“?,Poulenc,images/poulenc.jpg,correct-answer:poulenc->poulenc
L1-13,1,Oper & Musiktheater,Wer komponierte die Oper „Peter Grimes“?,Benjamin Britten,images/britten.jpg,correct-answer:benjamin britten->britten
L1-14,1,Komponisten,Welcher Komponist schrieb viele „Gnossiennes“ und „Gymnopédies“?,Erik Satie,images/satie.jpg,correct-answer:erik satie->satie
L1-15,1,Komponisten,Welcher Komponist gilt als wichtiger Vertreter der ungarischen Moderne und sammelte Volksmusik?,Bartók,images/bartok.jpg,correct-answer:bartók->bartok
L1-16,1,Oper & Musiktheater,Welcher Komponist schrieb die Oper „Wozzeck“?,Alban Berg,images/albanberg.jpg,correct-answer:alban berg->albanberg
L1-17,1,Werkkunde,Wer komponierte „Carmina Burana“?,Carl Orff,images/orff.jpg,correct-answer:carl orff->orff
L1-18,1,Werkkunde,Welcher Komponist schrieb das Orchesterwerk „The Planets“?,Gustav Holst,images/holst.jpg,correct-answer:gustav holst->holst
L1-19,1,Oper & Musiktheater,Welcher Komponist schrieb die Oper „Pelléas et Mélisande“?,Debussy,images/debussy.jpg,correct-answer:debussy->debussy
L1-20,1,Werkkunde,Wer komponierte die „Alpensinfonie“?,Richard Strauss,images/rstrauss.jpg,correct-answer:richard strauss->rstrauss
L1-21,1,Werkkunde,Welcher Komponist schrieb die „Variationen über ein Thema von Haydn“?,Brahms,images/brahms.jpg,correct-answer:brahms->brahms
L1-22,1,Komponisten,Welcher Komponist war besonders eng mit dem „Mächtigen Häuflein“ in Russland verbunden?,Mussorgsky,images/mussorgsky.jpg,correct-answer:mussorgsky->mussorgsky
L1-23,1,Kirchenmusik & Chor,Wer komponierte die „Glagolitische Messe“?,Janáček,images/janacek.jpg,correct-answer:janáček->janacek
L1-24,1,Komponisten,Welcher Komponist schrieb viele Lieder nach Gedichten von Wilhelm Müller?,Schubert,images/schubert.png,correct-answer:schubert->schubert
L1-25,1,Werkkunde,Welcher Komponist schrieb das Orchesterwerk „Prélude à l’après-midi d’un faune“?,Debussy,images/debussy.jpg,correct-answer:debussy->debussy
