level,question,image
1,Wer komponierte die 'Mondscheinsonate'?,beethoven.webp
1,Welcher Komponist wurde im Laufe seines Lebens zunehmend taub?,beethoven.webp
1,Welches Werk stammt von Antonio Vivaldi?,vivaldi.webp
1,In welcher Stadt wurde Mozart geboren?,mozart.jpg
1,"Welcher Komponist ist besonders bekannt für Nocturnes, Mazurken und Polonaisen?",chopin.jpg
1,Wer komponierte 'Also sprach Zarathustra'?,rstrauss.jpg
1,Wie viele Sinfonien schrieb Beethoven?,beethoven.webp
1,Wer gilt oft als 'Vater der Sinfonie'?,jhaydn.jpg
1,Welches Instrument spielte Franz Liszt virtuos?,liszt.jpg
1,Wer komponierte den berühmten Hochzeitsmarsch aus 'Ein Sommernachtstraum'?,mendelssohn.jpg
1,Welcher Komponist schrieb die „Sinfonia da Requiem“?,britten.jpg
1,Welcher Komponist war Mitglied der französischen Gruppe „Les Six“?,poulenc.jpg
1,Wer komponierte die Oper „Peter Grimes“?,britten.jpg
1,Welcher Komponist schrieb viele „Gnossiennes“ und „Gymnopédies“?,satie.jpg
1,Welcher Komponist gilt als wichtiger Vertreter der ungarischen Moderne und sammelte Volksmusik?,bartok.jpg
1,Welcher Komponist schrieb die Oper „Wozzeck“?,albanberg.jpg
1,Wer komponierte „Carmina Burana“?,orff.jpg
1,Welcher Komponist schrieb das Orchesterwerk „The Planets“?,holst.jpg
1,Welcher Komponist schrieb die Oper „Pelléas et Mélisande“?,debussy.jpg
1,Wer komponierte die „Alpensinfonie“?,rstrauss.jpg
1,Welcher Komponist schrieb die „Variationen über ein Thema von Haydn“?,brahms.jpg
1,Welcher Komponist war besonders eng mit dem „Mächtigen Häuflein“ in Russland verbunden?,mussorgsky.jpg
1,Wer komponierte die „Glagolitische Messe“?,janacek.jpg
1,Welcher Komponist schrieb viele Lieder nach Gedichten von Wilhelm Müller?,schubert.png
1,Welcher Komponist schrieb das Orchesterwerk „Prélude à l’après-midi d’un faune“?,debussy.jpg
1,Welcher Komponist schrieb die „Enigma-Variationen“?,elgar.jpg
1,Welcher Komponist war ein wichtiger Vertreter der tschechischen Nationalmusik und schrieb „Mein Vaterland“?,smetana.jpg
1,Welcher Komponist schrieb die „Ungarischen Tänze“?,brahms.jpg
1,Welcher Komponist schrieb die Oper „Porgy and Bess“?,gershwin.jpg
1,Welcher Komponist schrieb die „Kindertotenlieder“?,mahler.jpg
1,Welcher Komponist wurde 1685 in Eisenach geboren?,bach.jpg
1,Welcher Komponist war ein Zeitgenosse Bachs und wurde ebenfalls 1685 geboren?,handel.jpg
1,Welcher Komponist wurde wegen seiner langen Tätigkeit in London auch mit den „Londoner Sinfonien“ verbunden?,jhaydn.jpg
1,"Welcher Komponist schrieb besonders viele Lieder, darunter „Erlkönig“?",schubert.png
1,Welcher Komponist schrieb die 9. Sinfonie mit dem berühmten Schlusschor „Ode an die Freude“?,beethoven.webp
